,nbed,totalFloors,floorNo.,Area(sqft),parkings,nbath,balconies,Amt(rupees),Ready to Move,Under Construction
46,3,15,7,729,1,3,1,6260000.0,1,0
47,4,18,4,3270,2,4,1,54500000.0,1,0
48,4,22,7,3349,3,5,2,57600000.0,0,1
49,4,12,6,1714,2,4,1,28000000.0,1,0
50,3,12,10,1042,1,3,1,9200000.0,1,0
51,5,22,8,3800,3,4,3,76000000.0,0,1
52,2,12,8,740,1,2,1,5500000.0,1,0
53,3,13,3,1890,1,3,1,8820000.0,0,1
54,2,12,1,850,1,2,1,6400000.0,1,0
55,2,12,3,718,1,2,1,4920000.0,1,0
56,4,12,9,2500,3,5,1,36700000.0,0,1
